Episode,Standard_TD,RandomWall_TD,Standard_MC,RandomWall_MC
17500,-61.79470128152174,-131.5557229636755,-62.90529452274687,-78.73750018408641
18000,-61.051446732897176,-140.19152500394446,-54.17187893684245,-270.35203805465386
18500,-60.02027107422844,-143.5730345239655,-47.41127114817257,-261.7902820262694
19000,-60.43981210960162,-139.87245112110313,-45.55726452362036,-170.25255788482244
19500,-60.610512703296514,-139.77973005231127,-54.18564608867719,-217.96646796295263
20000,-60.22429635842942,-139.97738347532444,-60.25525238696189,-59.97682257989604
20500,-59.32244142742994,-143.72982296461197,-52.303557580900275,-404.2933001000299
21000,-58.666125910481604,-146.88709786220807,-75.02706374892507,-64.43585004635828
21500,-57.89700541984596,-136.4503320367561,-64.18559690336497,-187.09218024045543
22000,-58.52677883471867,-137.30549597587242,-62.342269462886215,-137.53245071307373
22500,-59.63421602905435,-149.20258962092956,-74.45879251030556,-106.56281252940813
23000,-58.79329091137314,-147.27553978634592,-65.21488945816357,-297.00623500535016
23500,-58.59308126946159,-153.3090308794744,-63.05674435287126,-107.65849956522376
24000,-58.6857420283541,-148.37336209054357,-53.744043772668924,-185.7324835402323
24500,-58.757280066529034,-139.8581650397478,-53.87140100953843,-261.2675499542867
25000,-58.706732433505685,-142.98659925918426,-60.54047641167843,-165.2502286812245
25500,-58.943549439090205,-151.13617054996297,-59.56518895950082,-255.97448796875528
26000,-59.29825169391672,-144.69967569819877,-54.059876933822835,-244.54123945233889
26500,-59.24230253310234,-136.0556031705154,-63.25245316955988,-107.39444797848186
27000,-59.83972738652209,-142.164837287772,-57.072816670207544,-217.26657287527797
27500,-58.76437726345135,-135.5796191854282,-54.75703367037008,-206.8147050753702
28000,-58.89232364618956,-134.2976938512402,-65.71986543850318,-207.71729363110342
28500,-58.24532515560729,-136.0584338976669,-51.41620890829416,-256.3979401983419
29000,-58.9895721773534,-143.71215115391382,-53.01886237617442,-177.03815014698284
29500,-58.65356248111349,-139.0958412651025,-56.119467190018554,-102.17317200976687
30000,-59.54322387474857,-149.96597806886263,-49.73438113299094,-70.95993113930552
30500,-59.8946982688212,-148.60734770657277,-72.26792501557831,-85.25338114969495
31000,-60.12357952075278,-150.1681074379148,-55.63416767913162,-107.45162716692246
31500,-59.68169863445471,-140.58574295358733,-60.072330112587316,-126.70070203081582
32000,-60.61625610554676,-149.7048820412128,-45.56411344316634,-134.8298942215884
32500,-60.820753891356226,-145.26489511042908,-56.93666188977101,-91.14675703547233
33000,-60.200629036601505,-151.54795205695967,-43.5692918118338,-131.92561235425669
33500,-59.658430410320285,-144.13946373847108,-56.901909428138154,-151.4935024574005
34000,-59.32610268784315,-141.78403291961078,-48.65875077104457,-268.61897419718133
34500,-58.80143775907001,-145.26238111897044,-67.03579963332895,-138.26447224424626
35000,-58.85931921574723,-142.58879760730355,-51.02709144276271,-90.0437587954854
35500,-58.12738061115496,-132.82645380049314,-62.73904032775687,-343.03413800919924
36000,-57.903000109777906,-130.8783125821078,-76.66236411515429,-243.23883544859237
36500,-57.40056209664193,-126.90456049729556,-47.70261420530131,-78.36496860188716
37000,-56.901693718686964,-132.43098499697697,-64.70611462155013,-61.92631701253016
37500,-58.26323781082202,-143.16702634088932,-67.4838914688075,-75.53490650029153
38000,-58.806745506397355,-145.03649205085006,-53.36748916319196,-75.38135367689003
38500,-59.65652737210514,-134.24653270880967,-63.57897038103368,-248.8984218037191
39000,-58.780478725030385,-148.95901919144717,-70.65302265878013,-277.692273747448
39500,-58.299084240282276,-146.01377344300266,-37.159572246231896,-402.6676206017967
40000,-58.81163471086308,-143.50343219394804,-63.81944714375515,-149.59223983144003
40500,-57.64621877442562,-142.54929218506254,-55.82666897152571,-324.57116691864036
